"fort_id","fort_name","district","locality","base_village","latitude","longitude","location_source","location_confidence","elevation_m","route_id","route_name","route_start","route_start_latitude","route_start_longitude","route_end","route_distance_km","route_duration","route_difficulty","route_type","trek_start","trek_route","trek_distance_km","trek_duration","difficulty","best_season","protection_status","route_source","route_verification_status","gps_status","trek_status","primary_source","verification_status","location_verified_date","last_verified","dataset_scope","record_status","base_village_source","trek_start_latitude","trek_start_longitude","route_confidence"
"MH-F-047","Tankai Fort","Nashik","Ankai","","20.19136","74.45485","OpenStreetMap/Mapcarta","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-048","Salher Fort","Nashik","Salher","","20.72226","73.94546","published coordinate record; Wikidata gives 20.72472,73.94278","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-049","Mulher Fort","Nashik","Mulher","","20.7512","74.06392","OpenStreetMap/Mapcarta","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-050","Vetalwadi Fort","Chhatrapati Sambhajinagar","Vetalwadi","","20.553797","75.621536","Wikimedia Commons camera location / OSM vicinity","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Maharashtra Directorate of Archaeology & Museums - Gad Sanvardhan scheme","FORT GPS VERIFIED; TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-1 verified fort registry (50 records)","GPS_PRESENT; ROUTE_PARTIAL","","","",""
"MH-F-051","Aad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-052","Abhasgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-053","Achala","Nashik","Achala (Satmala range)","Bilawadi/Daregaon","20.431722","73.81525","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","1227","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Achala Fort","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-054","Achalpur (Ellichpur)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-055","Adas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-056","Adgaum (Argaon)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-057","Agashi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-058","Ahiwant (Sarp/Serpant)","Nashik","Ahivant (Satmala range)","Ahivantwadi","20.415444","73.86","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","1227","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Ahivant Fort","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-059","Ajare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-060","Akeri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-061","Akhrani","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-062","Akola (Asagad/Asadgad)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-063","Alang","Nashik","Kalsubai range","Ambewadi/Samrad","19.5827","73.6612","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","1371","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Alang Fort","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-064","Alibag (Hirakot)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-065","Amalner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-066","Ambagadh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-067","Ambi Khurd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-068","Ambolgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-069","Amner (Jilpi)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-070","Andhalgaum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-071","Anjaneri","Nashik","Trimbakeshwar range","Anjaneri village","19.92","73.57","Wikipedia infobox coordinate (rounded)","SOURCE-BASED; FORT POINT","1280","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Anjaneri","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-072","Anjanvel (Gopalgad)","Ratnagiri","Anjanvel (near Guhagar)","Anjanvel","17.571472","73.151806","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","91","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Anjanvel Fort (Gopalgad)","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-073","Arnala","Palghar","Arnala island (near Vasai)","Arnala","19.46577","72.73247","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Arnala fort","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-074","Asava (Ashagad/Asavagad)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-075","Asheri","Palghar","Khodkona (Mumbai-Ahmedabad highway)","Khodkona","19.820417","72.92111","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","510","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Asheri fort","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-076","Assaye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-077","Aundh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-078","Aundha (Avandha)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-079","Avachtigad (Medha)","Raigad","Medha / Padam-Kharapti (near Roha)","Medha","18.474111","73.118639","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","91","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Avchitgad","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-080","Avandha (Aundha)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-081","Avre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-082","Badanera","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-083","Bagni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-084","Bahadurwadi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-085","Bahem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-086","Bahiravgad (Bhai Ramgad/Bairamgad/Saramja)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-087","Bahirgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-088","Bahula","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-089","Baitulawadi (Vetalwadi/Baitalwadi)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-090","Balapur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-091","Ballalgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-092","Ballalpur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-093","Balwantgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-094","Bande","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-095","Baramati","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-096","Basgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-097","Bavda (Gagangad)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-098","Bavdhan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-099","Belapur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-100","Betavad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-101","Bhagwantgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-102","Bhairavgad (Bhairamgad)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-103","Bhairavgad","Satara","near Patan","Patan region","17.325219","73.675196","Wikipedia infobox coordinate; NOTE: several distinct forts share the name Bhairavgad (Kothale, Moroshi, Shirpunje, Mandave, Patan) — this row matches the Patan/Satara one specifically","SOURCE-BASED; FORT POINT","1000","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Bhairavgad","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-104","Bhamer","Dhule","Sakri taluka","Bhamer village","21.07","74.33","Wikipedia infobox coordinate (rounded)","SOURCE-BASED; FORT POINT","650","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Bhamer Dhule","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-105","Bhamragad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-106","Bhana Hivra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-107","Bhandara (Behnor)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-108","Bhandargad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-109","Bhaskargad (Basgad)","Nashik","Trimbak range (near Harihar)","Dahalewadi","19.903972","73.430667","Wikipedia infobox coordinate; NOTE: 'Basgad' (MH-F-096) elsewhere in this registry appears to be the same fort under an alternate name — recommend de-duplicating","SOURCE-BASED; FORT POINT","1067","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Bhaskargad","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-110","Bhavangad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-111","Bhimgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-112","Bhivagad (Gaurkamat)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-113","Bhopalgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-114","Bhorgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-115","Bhupalgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-116","Bhupatgad (Bhopatgad)","Palghar","Jawhar taluka (Kurlod/Zaap)","Kurlod","19.818928","73.293575","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","488","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Bhupatgad Fort","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-117","Bhushangad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-118","Birwadi","Raigad","near Roha (Chanera village)","Birwadi village","18.423528","73.041917","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","366","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Birwadi fort","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-119","Bitangad","Nashik","Igatpuri taluka (Kalsubai range)","Taked / Bitanwadi","19.6538306","73.7861417","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","1219","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Bitangad","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-120","Bodvad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-121","Bombay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-122","Borale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-123","Borgaum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-124","Bhorgiri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-125","Chakan (Islamabad/Sangramgad/Vikramgad)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-126","Chambhargad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-127","Chandan","Satara","Kholvadi / Bhuinj (near Wai)","Kholvadi","17.847417","74.044806","Wikipedia infobox coordinate","SOURCE-BASED; FORT POINT","1158","","","","","","","","","","","","","","","","","","","","VERIFIED_SOURCE_COORDINATE","PENDING","Wikipedia — Chandan Fort","FORT GPS VERIFIED (WIKIPEDIA); TREK START/GPX PENDING","2026-09-08","2026-09-08","Phase-2 enrichment (Wikipedia-sourced) — batch dated 2026-09-08","GPS_PRESENT; ROUTE_PENDING","","","",""
"MH-F-128","Chanderi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
"MH-F-129","Chandgad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sahyadri fort index (secondary discovery source); Government verification pending","DISCOVERY ONLY — GPS/ROUTE/STATUS VERIFICATION PENDING","","","390-fort Maharashtra registry","DISCOVERY","","","",""
